HO VA TEN;NGAY SINH;QUOC TICH;SO CCCD;VI TRI;CHIEU CAO;CAN NANG
Nguyen Tuan Tai;20/08/1998;Viet Nam;1001;Tien Dao;170;58
Tran Quang Toan;18/02/1999;Viet Nam;1004;Hau Ve;172;60
Dang Van Truong;10/11/1998;Viet Nam;1002;Trung Ve;168;56
Dao Duy Anh;01/12/1997;Viet Nam;1007;Tien Dao;173;61
Truong Nhat Huy;03/07/1998;Viet Nam;1005;Trung Ve;167;72
Nguyen Duy Hoang;09/06/1995;Viet Nam;1009;Thu Mon;180;70
Ttran Quoc Anh;13/08/1997;Viet Nam;1010;Hau Ve;178;68
Bui Tuan Tai;18/02/1998;Viet Nam;1011;Trung Ve;168;57
Nguyen Nhat Minh;10/05/1999;Viet Nam;1012;Hau Ve;176;63
Pham Van Hai;23/11/1996;Viet Nam;1006;Tien Dao;166;60
Nguyen Hoang Dung;28/07/1999;Viet Nam;1014;Tien Dao;168;67
